Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
0.1,989,6300,1685,69,0.8060378193077519,0.3698578908002992,0.9347826086956522,0.530010718113612
0.2,871,7008,977,187,0.8712816543182572,0.4713203463203463,0.8232514177693762,0.5994494150034412
0.3,726,7396,589,332,0.8981532677208891,0.5520912547528517,0.6862003780718336,0.6118836915297092
0.4,543,7643,342,515,0.9052305650779608,0.6135593220338983,0.5132325141776938,0.5589294904786413
0.5,355,7821,164,703,0.9041247373659184,0.6840077071290944,0.33553875236294894,0.45022194039315155
0.6,233,7909,76,825,0.900364923144974,0.7540453074433657,0.22022684310018903,0.3408924652523775
0.7,123,7964,21,935,0.8942828707287405,0.8541666666666666,0.11625708884688091,0.20465890183028287
0.8,47,7978,7,1011,0.8874267389140772,0.8703703703703703,0.0444234404536862,0.08453237410071943
0.9,6,7984,1,1052,0.8835563419219286,0.8571428571428571,0.005671077504725898,0.011267605633802818
