Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
Fold 1,608.0,5848.0,540.0,238.0,0.8924523085429914,0.5296167247386759,0.7186761229314421,0.6098294884653962
Fold 2,641.0,5811.0,577.0,205.0,0.8918993641139066,0.5262725779967159,0.7576832151300237,0.6211240310077519
Fold 3,629.0,5866.0,521.0,218.0,0.897843516726569,0.5469565217391305,0.7426210153482881,0.6299449173760641
Fold 4,634.0,5858.0,529.0,212.0,0.8975528826213189,0.5451418744625968,0.7494089834515366,0.6311597809855649
Fold 5,619.0,5845.0,542.0,227.0,0.8936817364855524,0.533161068044789,0.7316784869976359,0.6168410563029397
MEAN,626.2,5845.6,541.8,220.0,0.8946859616980676,0.5362297533963816,0.7400135647717854,0.6217798548275433
STD,11.582745788456206,18.831887850133345,19.17706964058899,11.541230437002806,0.0025279315706275016,0.00832807037352949,0.01365319874791446,0.008028503635048858
