Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
0.1,957,6600,1385,101,0.8356740019904899,0.40862510674637065,0.9045368620037807,0.5629411764705883
0.2,861,7131,854,197,0.883777507464337,0.5020408163265306,0.8137996219281664,0.6209880995311936
0.3,759,7394,591,299,0.9015813336282207,0.5622222222222222,0.717391304347826,0.6303986710963455
0.4,638,7603,382,420,0.9113126174941945,0.6254901960784314,0.6030245746691871,0.6140519730510106
0.5,499,7725,260,559,0.9094327103837222,0.6574440052700923,0.4716446124763705,0.5492570170610898
0.6,351,7826,159,707,0.9042353201371226,0.6882352941176471,0.33175803402646503,0.4477040816326531
0.7,235,7913,72,823,0.9010284197721995,0.7654723127035831,0.222117202268431,0.3443223443223443
0.8,115,7956,29,943,0.8925135463894726,0.7986111111111112,0.10869565217391304,0.1913477537437604
0.9,22,7982,3,1036,0.885104500718788,0.88,0.020793950850661626,0.040627885503231764
