Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
0.1,1044,4567,3418,14,0.6204799292270264,0.23397579560735096,0.9867674858223062,0.3782608695652174
0.2,1031,5621,2364,27,0.7355965940506469,0.30368188512518407,0.9744801512287334,0.46305861217156974
0.3,1001,6182,1803,57,0.7943160455601017,0.3569900142653352,0.946124763705104,0.5183842568617296
0.4,971,6541,1444,87,0.8306977772862988,0.4020703933747412,0.9177693761814745,0.5591707457529513
0.5,923,6794,1191,135,0.8533672453831693,0.43661305581835386,0.8724007561436673,0.5819672131147541
0.6,868,7060,925,190,0.8767002101072653,0.4841048522030117,0.8204158790170132,0.6089091546825676
0.7,798,7316,669,260,0.8972686055512551,0.5439672801635992,0.7542533081285444,0.6320792079207921
0.8,654,7562,423,404,0.9085480482140883,0.6072423398328691,0.6181474480151229,0.6126463700234192
0.9,352,7832,153,706,0.9050093995355524,0.697029702970297,0.332703213610586,0.4504158669225848
