Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
0.1,991,6329,1656,67,0.8094658852150834,0.37438609746883267,0.9366729678638941,0.5349527665317139
0.2,878,6999,986,180,0.8710604887758487,0.47103004291845496,0.8298676748582231,0.6009582477754962
0.3,741,7366,619,317,0.8964945261528254,0.5448529411764705,0.7003780718336484,0.6129032258064516
0.4,562,7616,369,496,0.9043459029083268,0.6036519871106337,0.5311909262759924,0.5651080945198592
0.5,401,7797,188,657,0.9065575583324118,0.6808149405772496,0.3790170132325142,0.4869459623557984
0.6,239,7910,75,819,0.9011390025434037,0.7611464968152867,0.22589792060491493,0.34839650145772594
0.7,110,7964,21,948,0.8928452947030853,0.8396946564885496,0.10396975425330812,0.18502943650126155
0.8,46,7980,5,1012,0.8875373216852814,0.9019607843137255,0.043478260869565216,0.0829576194770063
0.9,0,7984,1,1058,0.8828928452947031,0.0,0.0,0.0
