iter	Passed	Remaining
402	10931	2631
403	10952	2602
404	10976	2574
405	11005	2548
406	11033	2521
407	11058	2493
408	11084	2466
409	11103	2437
410	11132	2410
411	11155	2382
412	11178	2354
413	11203	2327
414	11223	2298
415	11246	2271
416	11266	2242
417	11293	2215
418	11312	2186
419	11331	2158
420	11353	2130
421	11379	2103
422	11408	2076
423	11437	2050
424	11455	2021
425	11471	1992
426	11495	1965
427	11518	1937
428	11544	1910
429	11563	1882
430	11586	1854
431	11612	1827
432	11634	1800
433	11666	1774
434	11706	1749
435	11735	1722
436	11773	1697
437	11804	1670
438	11844	1645
439	11881	1620
440	11904	1592
441	11938	1566
442	11957	1538
443	11976	1510
444	11996	1482
445	12032	1456
446	12064	1430
447	12095	1403
448	12129	1377
449	12159	1351
450	12192	1324
451	12235	1299
452	12269	1273
453	12296	1245
454	12314	1217
455	12334	1190
456	12356	1162
457	12378	1135
458	12398	1107
459	12422	1080
460	12457	1053
461	12490	1027
462	12524	1000
463	12557	974
464	12585	947
465	12620	920
466	12654	894
467	12685	867
468	12713	840
469	12739	813
470	12764	785
471	12792	758
472	12822	731
473	12857	705
474	12886	678
475	12917	651
476	12951	624
477	12978	597
478	13008	570
479	13045	543
480	13078	516
481	13108	489
482	13150	462
483	13186	435
484	13220	408
485	13256	381
486	13290	354
487	13322	327
488	13359	300
489	13391	273
490	13422	246
491	13454	218
492	13474	191
493	13503	164
494	13538	136
495	13587	109
496	13628	82
497	13666	54
498	13698	27
499	13733	0
